id,count
0,39850.17531
1,39822.09795
2,39776.96915
3,39637.35092
4,39779.65187
5,39796.32517
6,39898.6386
7,40564.98183
8,40575.28648
9,38989.83569
10,38284.03375
11,37533.40684
12,37217.86444
13,36550.02721
14,36002.70575
15,35562.58752
16,35217.67486
17,34985.6297
18,34738.6252
19,35194.74004
20,35497.62182
21,36059.15509
22,36270.50699
23,37625.44367
24,39644.90857
25,39546.41569
26,39456.47377
27,39534.84717
28,39675.31843
29,39662.01478
30,39803.2171
31,40309.79685
32,40376.68509
33,38977.82413
34,38040.88344
35,37504.12732
36,37351.40549
37,36503.68053
38,36043.3772
39,35495.27886
40,34734.14858
41,34594.59178
42,34879.89401
43,35296.98021
44,35441.94584
45,35564.08717
46,36093.65631
47,37499.27501
48,39272.90896
49,39364.30131
50,39269.34047
51,39288.8311
52,39506.82401
53,39631.71511
54,39658.53243
55,40163.1174
56,39998.50349
57,38902.81427
58,38059.61438
59,37685.53708
60,37236.63088
61,36690.83104
62,35976.42374
63,35489.36988
64,34907.75149
65,34765.89985
66,34832.19952
67,34928.53166
68,35076.37868
69,35074.42692
70,35326.70237
71,36589.83542
72,38542.40707
73,38749.79575
74,38663.22597
75,38873.32998
76,39008.32795
77,39076.58827
78,39015.68242
79,39194.86493
80,38729.70972
81,38349.96865
82,38167.04706
83,37647.16697
84,37376.18398
85,36523.16584
86,36179.99016
87,35552.43639
88,35387.37533
89,35122.12109
90,34617.69642
91,34674.32559
92,34566.64171
93,34454.11084
94,34569.90013
95,36011.43678
96,37716.69585
97,38039.53921
98,38033.70164
99,38059.80394
100,38172.15162
101,38077.98952
102,38067.32403
103,37997.86201
104,38087.63726
105,37842.86821
106,37524.29602
107,37599.99466
108,37359.98192
109,37473.81867
110,36965.08045
111,36566.17033
112,36586.4854
113,35877.57293
114,35782.53958
115,35784.76951
116,35650.60204
117,35488.0994
118,35889.69734
119,37231.3204
120,39097.36921
121,39039.41136
122,38987.85465
123,39062.89362
124,38957.63561
125,39014.78265
126,38960.59267
127,39439.59076
128,39588.9799
129,38330.60819
130,37585.38486
131,37227.81997
132,37095.95168
133,36859.91456
134,36279.96191
135,36174.31601
136,35414.59285
137,35487.08404
138,35519.53926
139,35674.86344
140,36192.90329
141,36228.88003
142,36691.10072
143,37990.93806
144,39709.89854
145,39635.0218
146,39116.92216
147,39497.91573
148,39494.13202
149,39586.95136
150,39826.42001
151,40284.55127
152,40215.88455
153,38890.71402
154,37845.62363
155,37220.06397
156,37070.9192
157,36562.25059
158,36195.45805
159,35680.36637
160,35185.73939
161,35279.93885
162,35298.86419
163,35663.1029
164,35758.10535
165,36077.05034
166,36503.33933
167,37823.2852
168,39767.54983
169,39540.07008
170,39652.66982
171,39619.51204
172,39702.6772
173,39736.49604
174,39698.0984
175,40050.51308
176,40172.58297
177,38687.91155
178,37503.21323
179,37190.10371
180,36724.27827
181,36261.55917
182,35932.85939
183,35438.31812
184,35115.42693
185,35029.65691
186,35078.14911
187,35141.12461
188,35803.98304
189,35944.61149
190,36407.45124
191,38059.43209
192,39594.0058
193,39738.22252
194,39608.92959
195,39546.35397
196,39592.79755
197,39499.74091
198,39543.0003
199,40270.8167
200,40002.1817
201,38779.2639
202,38072.74654
203,37593.0424
204,37150.46878
205,36929.93621
206,36349.41633
207,36238.98891
208,35401.45975
209,35060.63822
210,35047.76595
211,35241.64044
212,35534.97883
213,35948.14859
214,36124.33942
215,37562.76208
216,39404.07103
217,39555.46616
218,37890.47541
219,38061.36773
220,38064.15908
221,38161.3382
222,38297.45002
223,38845.56485
224,39333.7449
225,38188.77169
226,37863.57668
227,37616.27493
228,37446.4528
229,36827.70614
230,36852.98232
231,35860.60175
232,35065.45043
233,34965.22671
234,34682.7859
235,34681.6977
236,34960.16754
237,34925.92902
238,35112.00356
239,36729.43686
240,38894.63493
241,38182.88921
242,38228.91366
243,38208.18408
244,38271.67796
245,38436.17771
246,38503.33821
247,38876.04984
248,38256.88004
249,38209.76983
250,37788.67026
251,37255.00287
252,37093.98904
253,36813.75218
254,36261.33047
255,36147.04888
256,35942.83025
257,35650.15009
258,35192.5083
259,35158.98981
260,34765.14352
261,34768.45508
262,35047.7291
263,36396.2946
264,38032.97965
265,38512.99195
266,38382.05273
267,38305.06168
268,38378.43171
269,38510.91088
270,38418.00772
271,38273.31736
272,38273.5717
273,37883.35367
274,37986.61669
275,37691.90617
276,37490.72414
277,37328.19998
278,37050.62756
279,36872.63982
